[categories] spawning parallel runs:
   sql_bare   → C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\results\20260603-020725_sql_bare
   sql_schema → C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\results\20260603-020725_sql_schema
   ingest     → C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\results\20260603-020725_ingest
   enriched   → C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\results\20260603-020725_enriched
[sql_schema] [1/5] Building TPC-DS DuckDB (sf=1) ...
[sql_schema] [2/5] Category 'sql_schema': setting up workspace ...
[sql_schema] [3/5] Running agent per query (99 queries, fresh context each, concurrency=2) — deepseek/deepseek-chat ...
[sql_schema]   [q01] starting (worker _worker_1)
[sql_schema]   [q02] starting (worker _worker_0)
[sql_bare] [1/5] Building TPC-DS DuckDB (sf=1) ...
[sql_bare] [2/5] Category 'sql_bare': setting up workspace ...
[sql_bare] [3/5] Running agent per query (99 queries, fresh context each, concurrency=2) — deepseek/deepseek-chat ...
[sql_bare]   [q01] starting (worker _worker_1)
[sql_bare]   [q02] starting (worker _worker_0)
[enriched] [1/5] Building TPC-DS DuckDB (sf=1) ...
[enriched] [2/5] Category 'enriched': setting up workspace ...
[enriched] [3/5] Running agent per query (99 queries, fresh context each, concurrency=2) — deepseek/deepseek-chat ...
[enriched]   [q02] starting (worker _worker_0)
[enriched]   [q01] starting (worker _worker_1)
[ingest] [1/5] Building TPC-DS DuckDB (sf=1) ...
[ingest] [2/5] Category 'ingest': setting up workspace ...
[ingest] [3/5] Running agent per query (99 queries, fresh context each, concurrency=2) — deepseek/deepseek-chat ...
[ingest]   [q02] starting (worker _worker_0)
[ingest]   [q01] starting (worker _worker_1)
[sql_bare]   [q01] done in 32s (exit 0, score=pass)
[sql_schema]   [q01] done in 33s (exit 0, score=fail)
[sql_schema]   [q03] starting (worker _worker_1)
[sql_bare]   [q03] starting (worker _worker_1)
[enriched]   [q01] done in 36s (exit 0, score=pass)
[enriched]   [q03] starting (worker _worker_1)
[sql_schema]   [q03] done in 22s (exit 0, score=pass)
[sql_schema]   [q04] starting (worker _worker_1)
[sql_bare]   [q03] done in 26s (exit 0, score=pass)
[sql_bare]   [q04] starting (worker _worker_1)
[ingest]   [q01] done in 38s (exit 0, score=pass)
[enriched]   [q03] done in 21s (exit 0, score=pass)
[ingest]   [q03] starting (worker _worker_1)
[enriched]   [q04] starting (worker _worker_1)
[ingest]   [q03] done in 26s (exit 0, score=pass)
[ingest]   [q04] starting (worker _worker_1)
[sql_schema]   [q04] done in 50s (exit 0, score=pass)
[sql_schema]   [q05] starting (worker _worker_1)
[sql_bare]   [q02] done in 124s (exit 0, score=fail)
[sql_bare]   [q05] starting (worker _worker_0)
[sql_bare]   [q04] done in 87s (exit 0, score=pass)
[sql_bare]   [q06] starting (worker _worker_1)
[sql_bare]   [q06] done in 39s (exit 0, score=pass)
[sql_bare]   [q07] starting (worker _worker_1)
[sql_schema]   [q05] done in 90s (exit 0, score=fail)
[sql_schema]   [q06] starting (worker _worker_1)
[sql_bare]   [q07] done in 28s (exit 0, score=pass)
[sql_bare]   [q08] starting (worker _worker_1)
[sql_schema]   [q02] done in 227s (exit 0, score=fail)
[sql_schema]   [q07] starting (worker _worker_0)
[sql_schema]   [q06] done in 34s (exit 0, score=pass)
[sql_schema]   [q08] starting (worker _worker_1)
[ingest]   [q04] done in 150s (exit 0, score=fail)
[ingest]   [q05] starting (worker _worker_1)
[sql_schema]   [q07] done in 27s (exit 0, score=pass)
[sql_schema]   [q09] starting (worker _worker_0)
[sql_schema]   [q09] done in 25s (exit 0, score=pass)
[sql_schema]   [q10] starting (worker _worker_0)
[enriched]   [q04] done in 233s (exit 0, score=pass)
[enriched]   [q05] starting (worker _worker_1)
[sql_schema]   [q10] done in 25s (exit 0, score=pass)
[sql_schema]   [q11] starting (worker _worker_0)
[sql_schema]   [q08] done in 84s (exit 0, score=pass)
[sql_schema]   [q12] starting (worker _worker_1)
[sql_bare]   [q08] done in 107s (exit 0, score=pass)
[sql_bare]   [q09] starting (worker _worker_1)
[enriched]   [q02] done in 330s (exit 0, score=fail)
[enriched]   [q06] starting (worker _worker_0)
[sql_bare]   [q05] done in 215s (exit 0, score=fail)
[sql_bare]   [q10] starting (worker _worker_0)
[sql_schema]   [q11] done in 44s (exit 0, score=fail)
[sql_schema]   [q13] starting (worker _worker_0)
[sql_bare]   [q09] done in 33s (exit 0, score=pass)
[sql_bare]   [q11] starting (worker _worker_1)
[sql_schema]   [q12] done in 44s (exit 0, score=fail)
[sql_schema]   [q14] starting (worker _worker_1)
[ingest]   [q02] done in 341s (exit 0, score=fail)
[ingest]   [q06] starting (worker _worker_0)
[sql_bare]   [q10] done in 32s (exit 0, score=pass)
[sql_bare]   [q12] starting (worker _worker_0)
[enriched]   [q06] done in 41s (exit 0, score=pass)
[enriched]   [q07] starting (worker _worker_0)
[sql_schema]   [q13] done in 35s (exit 0, score=pass)
[sql_schema]   [q15] starting (worker _worker_0)
[enriched]   [q07] done in 32s (exit 0, score=pass)
[sql_schema]   [q14] done in 50s (exit 0, score=pass)
[sql_bare]   [q12] done in 38s (exit 0, score=fail)
[enriched]   [q08] starting (worker _worker_0)
[sql_schema]   [q16] starting (worker _worker_1)
[sql_bare]   [q13] starting (worker _worker_0)
[ingest]   [q06] done in 44s (exit 0, score=fail)
[ingest]   [q07] starting (worker _worker_0)
[sql_schema]   [q15] done in 26s (exit 0, score=fail)
[sql_schema]   [q17] starting (worker _worker_0)
[sql_bare]   [q11] done in 73s (exit 0, score=fail)
[sql_bare]   [q14] starting (worker _worker_1)
[sql_schema]   [q16] done in 39s (exit 0, score=fail)
[sql_schema]   [q18] starting (worker _worker_1)
[sql_bare]   [q13] done in 44s (exit 0, score=pass)
[ingest]   [q07] done in 41s (exit 0, score=pass)
[sql_bare]   [q15] starting (worker _worker_0)
[ingest]   [q08] starting (worker _worker_0)
[enriched]   [q08] done in 44s (exit 0, score=pass)
[enriched]   [q09] starting (worker _worker_0)
[enriched]   [q09] done in 25s (exit 0, score=pass)
[enriched]   [q10] starting (worker _worker_0)
[sql_bare]   [q15] done in 37s (exit 0, score=pass)
[sql_bare]   [q16] starting (worker _worker_0)
[sql_bare]   [q14] done in 67s (exit 0, score=pass)
[sql_bare]   [q17] starting (worker _worker_1)
[sql_schema]   [q18] done in 68s (exit 0, score=fail)
[sql_schema]   [q19] starting (worker _worker_1)
[sql_bare]   [q16] done in 42s (exit 0, score=pass)
[sql_bare]   [q18] starting (worker _worker_0)
[sql_schema]   [q19] done in 21s (exit 0, score=pass)
[sql_schema]   [q20] starting (worker _worker_1)
[ingest]   [q08] done in 101s (exit 0, score=pass)
[ingest]   [q09] starting (worker _worker_0)
[sql_schema]   [q17] done in 148s (exit 0, score=fail)
[sql_bare]   [q17] done in 66s (exit 0, score=fail)
[sql_schema]   [q21] starting (worker _worker_0)
[sql_bare]   [q19] starting (worker _worker_1)
[enriched]   [q10] done in 86s (exit 0, score=pass)
[enriched]   [q11] starting (worker _worker_0)
[sql_schema]   [q20] done in 35s (exit 0, score=pass)
[sql_schema]   [q22] starting (worker _worker_1)
[sql_bare]   [q19] done in 21s (exit 0, score=pass)
[sql_bare]   [q20] starting (worker _worker_1)
[sql_bare]   [q18] done in 55s (exit 0, score=fail)
[sql_bare]   [q21] starting (worker _worker_0)
[ingest]   [q09] done in 43s (exit 0, score=pass)
[sql_schema]   [q22] done in 25s (exit 0, score=pass)
[ingest]   [q10] starting (worker _worker_0)
[sql_schema]   [q23] starting (worker _worker_1)
[sql_schema]   [q21] done in 40s (exit 0, score=pass)
[sql_schema]   [q24] starting (worker _worker_0)
[sql_bare]   [q20] done in 24s (exit 0, score=pass)
[sql_bare]   [q22] starting (worker _worker_1)
[sql_bare]   [q21] done in 39s (exit 0, score=pass)
[sql_bare]   [q23] starting (worker _worker_0)
[sql_bare]   [q22] done in 23s (exit 0, score=pass)
[sql_bare]   [q24] starting (worker _worker_1)
[enriched]   [q05] done in 346s (exit 0, score=fail)
[enriched]   [q12] starting (worker _worker_1)
[sql_schema]   [q24] done in 51s (exit 0, score=pass)
[sql_schema]   [q25] starting (worker _worker_0)
[sql_bare]   [q24] done in 36s (exit 0, score=pass)
[sql_bare]   [q25] starting (worker _worker_1)
[ingest]   [q10] done in 78s (exit 0, score=pass)
[ingest]   [q11] starting (worker _worker_0)
[sql_schema]   [q25] done in 34s (exit 0, score=fail)
[sql_schema]   [q26] starting (worker _worker_0)
[enriched]   [q12] done in 48s (exit 0, score=pass)
[enriched]   [q13] starting (worker _worker_1)
[sql_schema]   [q23] done in 90s (exit 0, score=fail)
[sql_schema]   [q27] starting (worker _worker_1)
[ingest]   [q05] done in 479s (exit 2, score=exhausted)
[ingest]   [q12] starting (worker _worker_1)
[sql_schema]   [q27] done in 33s (exit 0, score=pass)
[sql_schema]   [q28] starting (worker _worker_1)
[sql_schema]   [q26] done in 41s (exit 0, score=pass)
[sql_schema]   [q29] starting (worker _worker_0)
[ingest]   [q11] done in 50s (exit 0, score=fail)
[ingest]   [q13] starting (worker _worker_0)
[enriched]   [q13] done in 44s (exit 0, score=pass)
[enriched]   [q14] starting (worker _worker_1)
[enriched]   [q11] done in 168s (exit 0, score=fail)
[enriched]   [q15] starting (worker _worker_0)
[sql_schema]   [q28] done in 19s (exit 0, score=pass)
[sql_bare]   [q23] done in 115s (exit 0, score=fail)
[sql_schema]   [q30] starting (worker _worker_1)
[sql_bare]   [q26] starting (worker _worker_0)
[ingest]   [q12] done in 36s (exit 0, score=pass)
[ingest]   [q14] starting (worker _worker_1)
[enriched]   [q15] done in 31s (exit 0, score=pass)
[enriched]   [q16] starting (worker _worker_0)
[ingest]   [q13] done in 39s (exit 0, score=pass)
[ingest]   [q15] starting (worker _worker_0)
[sql_bare]   [q26] done in 29s (exit 0, score=pass)
[sql_bare]   [q27] starting (worker _worker_0)
[sql_schema]   [q30] done in 39s (exit 0, score=pass)
[sql_schema]   [q31] starting (worker _worker_1)
[sql_schema]   [q29] done in 59s (exit 0, score=fail)
[sql_schema]   [q32] starting (worker _worker_0)
[sql_bare]   [q25] done in 125s (exit 0, score=pass)
[sql_bare]   [q28] starting (worker _worker_1)
[sql_schema]   [q32] done in 17s (exit 0, score=pass)
[sql_schema]   [q33] starting (worker _worker_0)
[sql_bare]   [q27] done in 38s (exit 0, score=fail)
[sql_bare]   [q29] starting (worker _worker_0)
[ingest]   [q15] done in 47s (exit 0, score=fail)
[ingest]   [q16] starting (worker _worker_0)
[sql_schema]   [q31] done in 37s (exit 0, score=pass)
[sql_schema]   [q34] starting (worker _worker_1)
[sql_bare]   [q28] done in 29s (exit 0, score=pass)
[sql_bare]   [q30] starting (worker _worker_1)
[enriched]   [q16] done in 63s (exit 0, score=pass)
[enriched]   [q17] starting (worker _worker_0)
[sql_schema]   [q33] done in 35s (exit 0, score=fail)
[sql_schema]   [q35] starting (worker _worker_0)
[sql_schema]   [q34] done in 34s (exit 0, score=pass)
[sql_schema]   [q36] starting (worker _worker_1)
[sql_bare]   [q29] done in 47s (exit 0, score=pass)
[sql_bare]   [q31] starting (worker _worker_0)
[ingest]   [q16] done in 46s (exit 0, score=pass)
[ingest]   [q17] starting (worker _worker_0)
[sql_bare]   [q30] done in 42s (exit 0, score=pass)
[sql_bare]   [q32] starting (worker _worker_1)
[sql_schema]   [q35] done in 28s (exit 0, score=fail)
[sql_schema]   [q37] starting (worker _worker_0)
